,emdd,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index
173,0.2962482291726274,12163.51321793286,1.0,2.0,0.0,3.0,2.0,0.0,943.0
174,0.4098674472770833,6925.344443068529,0.0,2.0,0.0,4.0,1.0,1.0,731.0
180,0.2734041057804557,5829.584065472678,1.0,2.0,0.0,0.0,1.0,2.0,646.0
182,0.2173827726387746,5196.666682743939,1.0,1.0,0.0,0.0,0.0,0.0,754.0
185,0.5390724305890673,6815.40528783097,1.0,2.0,1.0,1.0,0.0,2.0,857.0
188,0.3021632374634156,11341.812974967475,0.0,0.0,0.0,1.0,1.0,2.0,93.0
193,0.23048559816869,11785.349794572314,0.0,2.0,0.0,1.0,0.0,2.0,695.0
204,0.4169421918338803,8462.376706609453,0.0,0.0,0.0,1.0,1.0,2.0,784.0
206,0.2045651586328962,9154.20306214026,0.0,2.0,0.0,2.0,2.0,1.0,760.0
216,0.0162981793479928,5563.981699262915,1.0,0.0,0.0,4.0,1.0,0.0,124.0
219,0.2048774280781568,11668.45402830626,1.0,0.0,0.0,3.0,2.0,2.0,643.0
224,0.3348019747879307,5423.002598454901,0.0,2.0,0.0,0.0,0.0,0.0,377.0
228,0.5222100913218295,12792.701592442774,1.0,2.0,0.0,0.0,0.0,2.0,657.0
235,0.2763631611791792,5826.017434962761,0.0,1.0,0.0,1.0,1.0,1.0,188.0
237,0.0874372170441831,9932.064051330935,1.0,2.0,0.0,3.0,0.0,1.0,254.0
249,0.0902262715057321,4058.724930388956,1.0,0.0,0.0,1.0,1.0,2.0,434.0
251,0.3638922916795846,12446.761909848296,1.0,1.0,0.0,3.0,0.0,1.0,37.0
266,0.2068023199450829,10365.128228845788,0.0,0.0,0.0,1.0,2.0,0.0,902.0
270,0.2930526974849977,9889.555587722483,1.0,1.0,0.0,0.0,1.0,0.0,352.0
271,0.5172204965013848,5201.047979925123,0.0,2.0,0.0,2.0,2.0,2.0,819.0
274,0.4993239518644156,12765.955841087676,1.0,0.0,0.0,4.0,1.0,0.0,217.0
277,0.544878696583631,9639.133286309974,0.0,1.0,0.0,2.0,0.0,1.0,272.0
279,0.5715963897787698,5393.143721179125,0.0,2.0,0.0,0.0,2.0,0.0,993.0
282,0.0051382015614037,8447.5106290165,1.0,2.0,0.0,3.0,1.0,2.0,31.0
286,0.1729173231097092,8334.544091802305,1.0,2.0,0.0,1.0,0.0,2.0,726.0
295,0.0116408172554312,6191.666787683223,1.0,0.0,0.0,1.0,1.0,0.0,834.0
298,0.4599902456526878,4388.611474269419,0.0,2.0,0.0,0.0,0.0,2.0,323.0
319,0.0759302225050109,8216.989362769022,1.0,1.0,0.0,3.0,1.0,2.0,841.0
322,0.0168857132915722,10244.835736093137,1.0,2.0,0.0,5.0,0.0,0.0,564.0
331,0.2081701113512697,10475.505961098108,0.0,2.0,0.0,5.0,1.0,1.0,91.0
336,0.336700280727414,8483.861210674999,0.0,1.0,0.0,0.0,2.0,1.0,836.0
338,0.3515057120171915,10674.000202237245,0.0,2.0,0.0,4.0,2.0,1.0,688.0
341,0.339596266863808,4055.364739073904,1.0,1.0,0.0,2.0,0.0,1.0,493.0
345,0.2868107173910271,9126.77570900234,1.0,2.0,0.0,5.0,0.0,0.0,329.0
355,0.1885662923825679,11628.33142093852,1.0,0.0,1.0,3.0,1.0,2.0,270.0
364,0.5793879830404742,6219.301054395657,0.0,0.0,0.0,5.0,2.0,0.0,593.0
367,0.5894011046545717,4747.34843627015,0.0,2.0,0.0,4.0,1.0,0.0,182.0
370,0.0509814919203974,12617.759075665988,0.0,0.0,0.0,1.0,1.0,1.0,665.0
373,0.0724617851386309,9085.475622496751,0.0,2.0,0.0,1.0,1.0,1.0,272.0
385,0.4225659353109535,12205.595130488004,0.0,2.0,0.0,1.0,0.0,0.0,274.0
390,0.102738533961428,6943.521257275279,1.0,1.0,0.0,4.0,0.0,1.0,774.0
402,0.2704141287722376,6608.069759186243,0.0,1.0,0.0,4.0,2.0,0.0,320.0
403,0.2969398800397579,11327.96376735459,0.0,2.0,0.0,2.0,0.0,2.0,2.0
411,0.1232762036555956,4563.269317812149,0.0,1.0,0.0,0.0,2.0,1.0,707.0
417,0.1265408107560106,11073.144716388671,0.0,2.0,1.0,1.0,0.0,1.0,681.0
421,0.0170097238935126,10680.299561053447,0.0,2.0,0.0,5.0,2.0,1.0,520.0
423,0.5525674219829345,7508.47349186591,0.0,0.0,0.0,1.0,0.0,2.0,627.0
427,0.2932039696947758,11150.2404028287,1.0,2.0,0.0,2.0,2.0,2.0,695.0
433,0.2815440546763513,4623.112802114069,1.0,2.0,0.0,4.0,1.0,0.0,467.0
434,0.4929130677623465,6740.453506338407,1.0,1.0,0.0,2.0,0.0,0.0,13.0
436,0.3251811328078941,5371.657497506639,0.0,0.0,0.0,0.0,1.0,0.0,4.0
437,0.0309748144167997,12048.789801684956,0.0,0.0,0.0,0.0,1.0,0.0,187.0
438,0.1720255765303569,12274.171493463553,0.0,1.0,0.0,5.0,1.0,1.0,97.0
453,0.184805449900396,5490.192027346407,1.0,1.0,0.0,1.0,2.0,2.0,116.0
458,0.3304435597709812,6862.421644304914,1.0,2.0,0.0,5.0,2.0,1.0,954.0
462,0.4698671066306294,9400.079621196994,1.0,0.0,0.0,5.0,0.0,0.0,615.0
467,0.2813271697496544,7428.521487990747,1.0,1.0,0.0,1.0,2.0,0.0,286.0
470,0.2804442539521409,11532.908085371131,0.0,1.0,0.0,3.0,1.0,0.0,411.0
475,0.568662941240087,12738.588294053916,0.0,2.0,0.0,3.0,1.0,1.0,615.0
481,0.4078093702259809,11191.391577603066,0.0,2.0,0.0,2.0,0.0,2.0,551.0
483,0.5648037287002566,11428.437241062848,1.0,1.0,0.0,5.0,2.0,1.0,891.0
485,0.3104581980735856,4623.421412619348,1.0,0.0,0.0,1.0,0.0,0.0,237.0
495,0.2428361513331438,10737.28358547634,0.0,2.0,0.0,2.0,2.0,0.0,970.0
497,0.0616861295380458,8043.230975734916,1.0,0.0,0.0,5.0,1.0,1.0,836.0
503,0.3171824531833916,6109.219592610483,0.0,2.0,0.0,0.0,0.0,2.0,663.0
510,0.3361558446509855,11240.039361212448,0.0,2.0,0.0,4.0,0.0,1.0,314.0
512,0.2229138047340342,10147.954229410723,0.0,0.0,0.0,2.0,2.0,2.0,687.0
525,0.0818057673573652,10586.724337105708,1.0,1.0,0.0,5.0,0.0,1.0,658.0
528,0.0588527083218173,9058.37978295903,1.0,1.0,0.0,5.0,2.0,0.0,540.0
530,0.334075248525403,11927.365165554913,1.0,0.0,1.0,2.0,2.0,2.0,47.0
540,0.0732849517720661,13303.701410628077,1.0,2.0,0.0,0.0,1.0,0.0,952.0
543,0.5901568465679987,11763.772160903256,1.0,1.0,0.0,3.0,0.0,1.0,257.0
544,0.4150816722705966,6276.352023113108,0.0,1.0,0.0,1.0,0.0,1.0,246.0
552,0.1304227539429341,8213.687509857384,0.0,1.0,0.0,5.0,1.0,2.0,890.0
562,0.0783039167871772,10015.321915217564,0.0,0.0,0.0,3.0,0.0,0.0,838.0
575,0.0109683573433456,12826.770564779605,1.0,0.0,0.0,1.0,1.0,0.0,325.0
594,0.435825368583557,4275.052335787195,1.0,0.0,0.0,4.0,1.0,2.0,678.0
598,0.0542551361836253,12289.605652212347,0.0,1.0,0.0,0.0,0.0,1.0,613.0
600,0.1879464540507846,4519.28657594244,1.0,0.0,0.0,1.0,0.0,0.0,24.0
619,0.3431628624760577,9342.46917065437,1.0,0.0,0.0,2.0,0.0,2.0,802.0
627,0.2691103087083464,5381.274668086093,0.0,0.0,0.0,1.0,1.0,1.0,875.0
629,0.2376755197218176,10846.159270957687,0.0,2.0,0.0,4.0,2.0,0.0,312.0
637,0.359239277809848,8474.879576268799,1.0,0.0,0.0,4.0,2.0,0.0,90.0
639,0.0038018468459629,4262.222914238131,1.0,1.0,0.0,4.0,2.0,0.0,353.0
641,0.5913646023798982,11207.653424617716,0.0,2.0,0.0,5.0,0.0,0.0,497.0
643,0.3796373911473399,13617.30622281464,0.0,2.0,0.0,5.0,0.0,1.0,640.0
644,0.4442045190847676,5727.634625243851,1.0,2.0,0.0,3.0,0.0,1.0,814.0
647,0.0980247591179739,9277.533503121364,0.0,0.0,0.0,2.0,0.0,1.0,71.0
651,0.021457925029653,12063.459861369613,0.0,2.0,0.0,0.0,1.0,0.0,415.0
655,0.4357789432793483,4580.128954214284,1.0,2.0,0.0,2.0,1.0,1.0,906.0
657,0.557282882856236,7842.571546951272,0.0,0.0,0.0,1.0,0.0,0.0,38.0
658,0.3223728394470698,13183.250403842776,0.0,0.0,0.0,0.0,0.0,1.0,820.0
660,0.1413065314106028,6844.324133834265,0.0,0.0,0.0,1.0,1.0,2.0,544.0
661,0.3311644868619975,7698.299907684258,1.0,0.0,0.0,1.0,0.0,1.0,685.0
666,0.2411075766751804,6734.339073846782,0.0,1.0,0.0,3.0,1.0,1.0,58.0
667,0.0135687567237999,10903.654199737368,0.0,0.0,0.0,4.0,0.0,1.0,570.0
672,0.0904446561368714,11837.943021413448,1.0,1.0,0.0,1.0,2.0,0.0,767.0
676,0.0015518435314871,6293.808759024507,0.0,1.0,0.0,3.0,2.0,1.0,736.0
682,0.4653385592842999,6791.594659441222,0.0,2.0,1.0,2.0,2.0,1.0,404.0
684,0.0438705633842662,4152.8900044393895,0.0,0.0,0.0,1.0,1.0,2.0,527.0
686,0.0274842599473386,5856.355440965528,1.0,2.0,0.0,0.0,2.0,2.0,175.0
696,0.0188815840866356,6447.040926098868,0.0,2.0,0.0,2.0,0.0,2.0,72.0
709,0.2115048771300751,7636.621966593594,0.0,1.0,0.0,5.0,0.0,0.0,56.0
712,0.1596218097213939,11048.481803239349,0.0,0.0,0.0,4.0,2.0,0.0,583.0
717,0.5578366315881695,11019.128409612456,1.0,1.0,0.0,0.0,2.0,1.0,257.0
724,0.133441734041056,6227.155543183375,0.0,1.0,0.0,0.0,1.0,0.0,792.0
730,0.4310436505717673,12763.617296831257,0.0,1.0,0.0,3.0,2.0,1.0,972.0
731,0.3433391043567185,9573.741966739111,0.0,2.0,0.0,4.0,1.0,1.0,768.0
733,0.0615223474402565,5604.804805387708,0.0,2.0,1.0,5.0,2.0,0.0,182.0
755,0.0278541806095581,11494.046923006565,0.0,2.0,0.0,5.0,0.0,0.0,369.0
763,0.5955435204139659,5124.94690063925,1.0,1.0,0.0,1.0,2.0,0.0,354.0
765,0.5205998972766819,5790.431123592892,1.0,2.0,0.0,5.0,2.0,2.0,361.0
767,0.2815018755766321,10015.952644188576,1.0,2.0,0.0,5.0,0.0,1.0,170.0
771,0.0829945946789041,12490.797422913362,0.0,0.0,0.0,0.0,1.0,1.0,416.0
792,0.0426686540218861,8714.490738744316,1.0,1.0,1.0,0.0,0.0,2.0,94.0
799,0.1429105943346058,12312.835813405472,0.0,0.0,0.0,4.0,1.0,2.0,309.0
802,0.3027903377297753,11767.113357047916,0.0,0.0,0.0,2.0,2.0,2.0,680.0
817,0.0586190736998712,13620.918524626964,0.0,0.0,0.0,2.0,2.0,0.0,463.0
832,0.1388357449836244,9902.124627019182,0.0,0.0,0.0,2.0,1.0,1.0,241.0
834,0.3530682330048179,7790.197091437207,1.0,2.0,0.0,4.0,2.0,1.0,315.0
842,0.1197774907311481,12469.387422203254,1.0,2.0,0.0,2.0,2.0,1.0,885.0
846,0.477438207217588,5990.814743684393,0.0,0.0,1.0,3.0,1.0,2.0,463.0
847,0.2830508719749747,10668.845341106276,0.0,1.0,0.0,0.0,0.0,2.0,116.0
852,0.1970950662265368,8069.440035732682,1.0,2.0,1.0,0.0,2.0,2.0,546.0
856,0.1493072042892937,6784.148015850351,0.0,2.0,0.0,5.0,2.0,1.0,450.0
869,0.1586062482081469,7962.649881691498,1.0,0.0,0.0,3.0,1.0,0.0,396.0
879,0.3360561752264329,12537.094968991092,1.0,0.0,0.0,0.0,1.0,1.0,661.0
880,0.3836120634262577,9455.031139307444,0.0,1.0,0.0,2.0,2.0,2.0,643.0
885,0.0367363714220766,7086.235521203254,0.0,1.0,0.0,4.0,2.0,0.0,226.0
892,0.1181656129577704,11682.094632076149,0.0,1.0,0.0,5.0,0.0,1.0,702.0
894,0.2301404077484816,9562.61265205938,0.0,1.0,0.0,3.0,2.0,1.0,248.0
895,0.0319766886174609,8926.170967082391,1.0,2.0,0.0,1.0,1.0,0.0,133.0
900,0.049966734643572,6993.68500515606,1.0,1.0,0.0,3.0,1.0,0.0,133.0
911,0.3142306753338051,9950.5911880629,1.0,0.0,1.0,0.0,1.0,1.0,123.0
912,0.1028868627040802,11560.965816556403,1.0,1.0,0.0,1.0,2.0,2.0,391.0
915,0.0281309801268678,8902.298179981844,0.0,1.0,0.0,3.0,0.0,2.0,887.0
937,0.4133868163656605,9503.361830503763,1.0,2.0,0.0,1.0,1.0,1.0,66.0
948,0.1469154821461544,4171.162538884696,0.0,0.0,0.0,1.0,1.0,0.0,36.0
960,0.2403526735705056,12362.650053673462,1.0,0.0,0.0,0.0,1.0,2.0,553.0
963,0.1810777847637107,4950.196808084354,1.0,0.0,0.0,3.0,2.0,0.0,929.0
978,0.3242104608796875,8351.499120015667,1.0,1.0,0.0,5.0,2.0,0.0,246.0
990,0.3413144757486778,5298.383659959884,1.0,0.0,0.0,4.0,0.0,1.0,489.0
993,0.3460988454996915,13427.791549865333,0.0,0.0,0.0,4.0,2.0,2.0,546.0
1002,0.5583888414311441,11827.81017649643,1.0,0.0,0.0,2.0,1.0,2.0,873.0
1005,0.5698163704328993,9065.01551722505,0.0,1.0,0.0,4.0,2.0,2.0,636.0
1007,0.1955562261251958,5818.672846126508,1.0,1.0,0.0,1.0,2.0,2.0,208.0
1011,0.3010966759170121,9388.80018604666,0.0,2.0,0.0,4.0,2.0,0.0,904.0
1015,0.197321313911362,4383.934013535579,0.0,0.0,0.0,0.0,2.0,0.0,469.0
1016,0.3777639503479261,4047.3669524606926,0.0,1.0,0.0,2.0,2.0,0.0,80.0
1017,0.3272397949229252,8083.156553319248,0.0,1.0,0.0,0.0,1.0,0.0,481.0
1019,0.3962827165486501,9705.687052220532,0.0,1.0,0.0,3.0,1.0,1.0,884.0
1020,0.1712741588858123,4778.427065405605,1.0,2.0,0.0,4.0,0.0,1.0,300.0
1029,0.238860885333123,10917.60921259261,1.0,2.0,0.0,2.0,2.0,0.0,606.0
1045,0.2015023052228363,5823.4161769979655,1.0,2.0,0.0,4.0,0.0,0.0,622.0
1047,0.0606405027855366,6826.966628187741,1.0,1.0,0.0,1.0,1.0,0.0,954.0
1065,0.4051525458072419,5517.556305834352,0.0,0.0,0.0,2.0,0.0,0.0,418.0
1071,0.0290523360592308,4606.744060195933,1.0,0.0,0.0,1.0,0.0,2.0,10.0
1088,0.5346282782319364,6216.120556516586,0.0,1.0,0.0,5.0,1.0,2.0,352.0
1089,0.3855762828250038,7743.718275279126,0.0,0.0,0.0,4.0,0.0,0.0,877.0
1099,0.0251105604313676,5918.025949402509,1.0,0.0,0.0,0.0,1.0,0.0,231.0
1104,0.1010912196363697,11885.293574979987,1.0,1.0,0.0,0.0,0.0,2.0,636.0
1108,0.3706583681844255,8236.770201269741,0.0,2.0,0.0,1.0,1.0,1.0,267.0
1112,0.2376886027502013,9698.340360765123,1.0,0.0,0.0,2.0,2.0,2.0,841.0
1115,0.2244046629579167,9232.506741542227,0.0,2.0,0.0,3.0,2.0,2.0,180.0
1118,0.0049534786598789,9860.640866649384,0.0,2.0,0.0,1.0,2.0,0.0,640.0
1123,0.2280212185835806,12929.689291854897,0.0,1.0,0.0,1.0,2.0,0.0,967.0
1126,0.2649650481265336,5639.011090278588,1.0,0.0,0.0,4.0,2.0,1.0,360.0
1146,0.2783758397253664,6321.307845751064,0.0,2.0,0.0,1.0,1.0,1.0,424.0
1160,0.3641677362474942,4299.609128667388,1.0,1.0,0.0,4.0,0.0,1.0,428.0
1163,0.5219646202659428,10360.42185409011,1.0,1.0,0.0,3.0,0.0,0.0,688.0
1165,0.184307868864497,11468.661011363696,0.0,0.0,0.0,2.0,2.0,1.0,625.0
1166,0.5915457289394098,12579.87075224773,1.0,1.0,0.0,5.0,1.0,1.0,428.0
1167,0.42444358802176,12833.166240645633,0.0,0.0,0.0,0.0,1.0,2.0,454.0
1179,0.3454411378098587,9643.207076345125,0.0,0.0,0.0,1.0,1.0,0.0,933.0
1188,0.4839443994412735,8512.3843856405,1.0,1.0,0.0,4.0,0.0,1.0,246.0
1191,0.053746203125009,9154.528464030102,1.0,1.0,0.0,3.0,1.0,0.0,77.0
1206,0.3919970869930376,9898.879737967138,1.0,2.0,0.0,3.0,1.0,0.0,612.0
1229,0.4249462400047217,8464.666791007765,0.0,0.0,0.0,0.0,2.0,0.0,657.0
1231,0.0624871022590991,5873.460346078823,1.0,2.0,0.0,3.0,2.0,1.0,364.0
1246,0.5953554601327155,4847.193028681514,1.0,0.0,1.0,3.0,2.0,2.0,857.0
1250,0.214032702303356,10587.777319089755,1.0,2.0,0.0,1.0,0.0,0.0,253.0
1251,0.3403637226337218,9604.279153220212,1.0,1.0,0.0,5.0,0.0,1.0,126.0
1253,0.0544521656757528,5419.3527347564905,0.0,2.0,0.0,4.0,0.0,1.0,331.0
1256,0.5366651914776267,12330.31936871652,0.0,0.0,0.0,3.0,0.0,2.0,985.0
1261,0.3169869565329758,8339.528506561826,1.0,2.0,0.0,0.0,1.0,1.0,709.0
1267,0.5833778480154517,9216.794847747193,1.0,0.0,0.0,0.0,1.0,0.0,366.0
1276,0.194078898544143,10227.977754355185,1.0,2.0,1.0,3.0,1.0,2.0,115.0
1277,0.2137764662140666,6619.860598081181,1.0,2.0,0.0,1.0,0.0,1.0,903.0
1282,0.382611990715009,8230.276243607175,1.0,1.0,0.0,4.0,2.0,0.0,274.0
1286,0.1878074615257418,5406.448553032055,1.0,1.0,0.0,1.0,2.0,1.0,402.0
1288,0.5935708082787634,6417.8557653014095,1.0,2.0,0.0,1.0,1.0,0.0,581.0
1290,0.1737638979454753,4967.314341793567,0.0,0.0,1.0,2.0,2.0,2.0,447.0
1296,0.5667284952213985,12783.30684431843,0.0,2.0,0.0,2.0,0.0,1.0,327.0
1302,0.2920173982204653,6948.096322472064,0.0,0.0,0.0,1.0,2.0,2.0,985.0
1318,0.3187576864633944,6368.201738966543,1.0,2.0,0.0,3.0,2.0,2.0,643.0
1322,0.0940611698997049,7906.37133338887,0.0,0.0,1.0,2.0,2.0,1.0,170.0
1323,0.3554307372344508,7344.056871122892,0.0,2.0,0.0,5.0,2.0,1.0,419.0
1346,0.5658635823659269,10370.168886666102,1.0,2.0,0.0,2.0,1.0,1.0,8.0
1347,0.0539082703874905,9251.392561165716,1.0,1.0,0.0,5.0,0.0,1.0,578.0
1353,0.1913525347099473,13504.526824930954,0.0,2.0,0.0,4.0,0.0,0.0,307.0
1355,0.064206769325188,5582.336045879755,0.0,1.0,0.0,5.0,0.0,2.0,622.0
1368,0.223974693855073,13171.426743358328,1.0,1.0,0.0,2.0,0.0,0.0,746.0
1370,0.3218761941730641,4133.168110950271,1.0,2.0,0.0,0.0,2.0,0.0,332.0
1377,0.2781459944630307,10544.637477637209,1.0,2.0,0.0,3.0,1.0,2.0,434.0
1378,0.4760928908252985,5994.284496946431,0.0,0.0,0.0,4.0,1.0,1.0,487.0
1381,0.3215165981634662,11623.859687386444,0.0,1.0,0.0,4.0,0.0,1.0,419.0
1386,0.212951124218784,13532.491066605968,1.0,0.0,0.0,0.0,1.0,0.0,497.0
1397,0.1123760676657877,4238.285221495712,0.0,0.0,0.0,0.0,0.0,0.0,541.0
1401,0.1220626132053613,8348.397133431386,1.0,2.0,0.0,3.0,0.0,2.0,144.0
1403,0.0330958907550451,5225.906826272047,1.0,1.0,0.0,4.0,2.0,2.0,866.0
1405,0.3311118928239971,10431.384145355309,0.0,0.0,0.0,0.0,2.0,2.0,299.0
1406,0.0985400540553652,11750.214510114263,1.0,2.0,0.0,3.0,0.0,2.0,620.0
1413,0.3267241555790365,11856.979455073066,0.0,2.0,0.0,2.0,0.0,2.0,676.0
1420,0.3043772310643208,8050.755551213933,0.0,0.0,0.0,4.0,2.0,1.0,430.0
1421,0.3826510945619384,4756.30943826537,1.0,1.0,0.0,3.0,1.0,2.0,637.0
1432,0.3564286644559056,5643.419866431927,0.0,0.0,0.0,0.0,2.0,1.0,883.0
1436,0.2090876989096294,9700.62358890186,1.0,0.0,0.0,3.0,2.0,1.0,84.0
1442,0.0249867824716446,10198.282240347286,1.0,0.0,0.0,3.0,0.0,1.0,717.0
1450,0.5732077292137098,12016.560542382427,0.0,1.0,0.0,0.0,0.0,1.0,117.0
1455,0.4488095486504908,11587.48210720639,1.0,0.0,0.0,5.0,1.0,0.0,800.0
1464,0.4277087209440156,10873.825072183414,0.0,2.0,0.0,3.0,2.0,1.0,812.0
1471,0.5927672352480203,9167.57957580078,1.0,1.0,0.0,4.0,2.0,2.0,671.0
1473,0.2605805512157368,4169.119246521424,0.0,2.0,0.0,2.0,1.0,2.0,823.0
1475,0.58319125388533,6922.687587042519,1.0,1.0,0.0,1.0,1.0,0.0,688.0
1485,0.2946844345017224,12032.781432617074,1.0,1.0,0.0,3.0,0.0,0.0,637.0
1486,0.0969839206089301,7253.619037348208,1.0,2.0,0.0,1.0,0.0,0.0,460.0
1487,0.1880695748215206,10318.398447415717,0.0,0.0,0.0,5.0,1.0,0.0,948.0
1492,0.1961029146346424,10296.751333647364,0.0,1.0,0.0,0.0,1.0,2.0,831.0
1497,0.4070118312698521,6755.364941789219,1.0,1.0,0.0,3.0,0.0,2.0,947.0
1499,0.319572399244278,4049.428105356147,0.0,2.0,0.0,5.0,0.0,0.0,562.0
1504,0.0318090555326869,9240.928255879422,1.0,1.0,0.0,3.0,1.0,0.0,619.0
1527,0.3692408482264639,6754.501267083206,1.0,1.0,0.0,1.0,1.0,2.0,671.0
1537,0.0462448071141676,6537.433489874254,1.0,2.0,0.0,2.0,0.0,1.0,866.0
1539,0.1616582861078127,12843.84367044396,1.0,0.0,1.0,0.0,1.0,2.0,369.0
1544,0.3973555749314081,4825.913693335044,1.0,2.0,0.0,0.0,2.0,0.0,182.0
1549,0.4971837490341312,9476.053616987632,1.0,1.0,0.0,2.0,0.0,0.0,699.0
1555,0.1458134286815619,8325.178431491016,0.0,0.0,0.0,2.0,2.0,1.0,404.0
1558,0.368366583913966,7916.196960393889,0.0,2.0,0.0,1.0,1.0,2.0,189.0
1567,0.4978570979067906,12953.754243714677,0.0,2.0,0.0,5.0,0.0,1.0,225.0
1570,0.0321094694485049,12561.161442651084,1.0,0.0,1.0,3.0,1.0,2.0,221.0
1581,0.2395473505327266,10740.165635348496,1.0,2.0,0.0,1.0,2.0,2.0,773.0
1588,0.2003168840521036,8817.660568133542,0.0,1.0,0.0,4.0,0.0,1.0,638.0
1597,0.034982122504072,4857.653835957823,0.0,2.0,0.0,1.0,0.0,1.0,415.0
1600,0.1573313625510701,13302.508599661423,1.0,0.0,0.0,4.0,1.0,0.0,572.0
1608,0.18359025127764,10650.196419429936,0.0,2.0,0.0,3.0,2.0,1.0,652.0
1636,0.3140393985422998,5140.547577559,0.0,1.0,0.0,1.0,0.0,2.0,719.0
1646,0.0098372667496211,11753.53129104338,0.0,0.0,1.0,0.0,1.0,1.0,322.0
1650,0.3256140001511711,10987.748299816594,0.0,2.0,0.0,1.0,1.0,1.0,415.0
1658,0.0324956697256922,4548.606899673195,1.0,2.0,0.0,2.0,2.0,0.0,226.0
1660,0.4717751778960437,9597.759594540845,1.0,0.0,0.0,3.0,2.0,0.0,307.0
1661,0.0519227372925599,9305.6223144003,1.0,0.0,0.0,0.0,1.0,1.0,20.0
1666,0.2463161177801847,10119.581440791826,0.0,2.0,0.0,4.0,2.0,2.0,583.0
1667,0.219696195930666,5039.328606147536,0.0,0.0,0.0,1.0,0.0,0.0,75.0
1673,0.4634485106252876,10763.26182327391,0.0,2.0,0.0,1.0,0.0,0.0,199.0
1679,0.2731809430462407,11173.330665959507,0.0,0.0,0.0,2.0,0.0,1.0,874.0
1685,0.2647637542476191,5354.170608220194,0.0,2.0,0.0,3.0,2.0,1.0,62.0
1718,0.1278289158478151,9202.026106840964,0.0,0.0,0.0,1.0,1.0,1.0,893.0
1719,0.3084109934622913,12196.337375232648,0.0,1.0,0.0,0.0,2.0,0.0,260.0
1720,0.0963568124353774,13118.290377918343,1.0,2.0,0.0,4.0,2.0,0.0,840.0
1723,0.0511937746122039,6927.559445685689,1.0,2.0,0.0,5.0,0.0,0.0,292.0
1737,0.2219987901997905,5208.986645055319,0.0,2.0,0.0,3.0,2.0,0.0,745.0
1739,0.0662533741595996,9199.43605575934,0.0,2.0,1.0,3.0,1.0,1.0,170.0
1741,0.0975107375631901,7382.3580962599535,1.0,2.0,0.0,4.0,2.0,0.0,412.0
1745,0.2116291417437854,8575.17253604098,0.0,1.0,0.0,5.0,0.0,2.0,767.0
1747,0.5885242021204382,7936.237625538453,0.0,1.0,0.0,2.0,2.0,1.0,706.0
1750,0.4028250283961869,9676.394461681395,1.0,2.0,0.0,1.0,1.0,2.0,275.0
1752,0.2292182708108116,10078.597212245508,1.0,1.0,0.0,2.0,2.0,1.0,97.0
1760,0.3827357824114182,11502.108371891962,0.0,1.0,0.0,0.0,1.0,1.0,755.0
